Datetime,"Leroy Musigny Grand Cru, Cote de Nuits","Leroy Domaine d'Auvenay Chevalier-Montrachet Grand Cru, Cote de Beaune","Leroy Domaine d'Auvenay Criots-Batard-Montrachet Grand Cru, Cote de Beaune","Leroy Chambertin Grand Cru, Cote de Nuits","Leroy Domaine d'Auvenay Mazis-Chambertin Grand Cru, Cote de Nuits","Leroy Domaine d'Auvenay Les Bonnes-Mares Grand Cru, Cote de Nuits","Leroy Corton-Charlemagne Grand Cru, Cote de Beaune","Domaine de la Romanee-Conti Montrachet Grand Cru, Cote de Beaune","Leroy Richebourg Grand Cru, Cote de Nuits","Leroy Romanee-Saint-Vivant Grand Cru, Cote de Nuits","Leroy Domaine d'Auvenay Meursault Chaumes des Perrieres, Cote de Beaune","Leroy Domaine d'Auvenay Meursault, Cote de Beaune","Leroy Domaine d'Auvenay Puligny-Montrachet en La Richarde, Cote de Beaune","Leroy Clos de la Roche Grand Cru, Cote de Nuits","Leroy Domaine d'Auvenay Les Folatieres, Puligny-Montrachet Premier Cru","Leroy Corton-Renardes Grand Cru, Cote de Beaune","Leroy Aux Brulees, Vosne-Romanee Premier Cru","Leroy Domaine d'Auvenay Meursault Les Narvaux, Cote de Beaune","Leroy Chambolle-Musigny Les Fremieres, Cote de Nuits","Leroy Clos de Vougeot Grand Cru, Cote de Nuits","Leroy Latricieres-Chambertin Grand Cru, Cote de Nuits","Leroy Les Charmes, Chambolle-Musigny Premier Cru","Leroy Les Combottes, Gevrey-Chambertin Premier Cru","Leroy Domaine d'Auvenay Auxey-Duresses Les Clous, Cote de Beaune"
01-2015,5218.56,1692.71,1763.68,3260.09,1484.33,1306.15,1351.45,4433.36,2206.11,1905.62,486.22,453.00,687.05,1654.96,646.28,1176.29,844.09,511.89,478.67,1206.49,1419.40,768.59,744.43,386.56
02-2015,5065.06,1866.48,1909.60,3277.12,1495.34,1353.66,1406.02,4404.40,2229.92,1900.36,483.56,441.98,683.76,1726.34,639.10,1176.56,796.18,529.76,502.04,1204.28,1513.82,770.00,794.64,386.62
03-2015,5219.96,2104.56,1944.72,3352.20,1536.21,1462.24,1315.72,4404.48,2280.68,1894.40,469.16,426.24,664.52,1644.28,631.96,1141.08,845.08,562.40,466.20,1241.72,1796.28,750.36,781.44,401.08
04-2015,5011.69,2076.25,1854.28,3447.33,1491.88,1432.99,1371.08,4392.59,2296.71,1955.45,469.91,433.37,628.16,1688.18,632.69,1115.89,859.19,539.07,459.04,1232.16,1793.39,766.53,732.35,385.62
05-2015,5070.42,2253.69,2181.78,3291.03,1514.70,1676.88,1369.35,4386.51,2314.89,1961.46,488.07,436.05,670.14,1742.67,618.12,1084.77,896.19,561.51,495.72,1230.12,1522.35,758.31,806.31,420.75
06-2015,4992.40,2527.70,2138.34,3182.39,1588.84,1612.39,1362.76,4505.90,2314.89,1934.24,496.12,489.84,660.97,1745.84,629.57,1064.46,896.58,598.17,472.57,1219.89,1532.22,756.60,769.30,419.19
07-2015,4664.40,2425.80,2233.92,3291.60,1605.24,1658.28,1306.32,4516.20,2317.32,1995.24,340.08,457.08,661.44,1761.24,630.24,1071.72,871.35,567.84,450.84,1255.80,1796.04,766.92,753.48,390.00
08-2015,4464.46,2519.44,2253.02,3409.56,1658.58,1800.26,1379.84,4467.54,2380.56,1946.56,349.58,485.10,676.06,1841.84,631.40,1085.70,837.72,597.72,465.08,1222.76,1564.64,776.72,760.76,405.02
09-2015,4778.88,2517.12,2280.00,3347.04,1749.52,2102.16,1424.24,4452.05,2403.94,2006.40,351.12,483.36,699.20,1816.40,652.08,1089.84,831.60,630.80,468.16,1225.12,1562.56,764.12,772.16,433.20
10-2015,4946.05,2743.50,2462.95,3441.00,1799.55,2002.60,1494.20,4522.90,2445.68,2142.10,353.40,500.65,717.65,1872.40,683.55,1162.50,916.56,672.70,489.80,1266.35,1782.50,764.56,813.75,440.20
11-2015,4973.44,2717.76,2327.12,3389.60,1805.76,1966.88,1568.64,4433.84,2517.20,2135.60,334.40,495.52,715.92,1855.92,650.56,1129.36,891.25,665.76,498.56,1261.60,1702.48,793.50,769.48,468.16
12-2015,4935.00,2695.50,2355.00,3480.00,1780.50,2013.00,1662.00,4401.00,2579.44,2248.50,339.00,511.50,730.50,1903.50,699.00,1128.00,817.76,645.00,481.50,1285.50,1838.50,815.08,847.50,499.50
01-2016,5042.42,2662.50,2394.12,3382.44,1905.64,1885.76,1696.90,4352.30,2508.00,2332.12,708.58,519.72,730.50,1851.68,680.18,1497.06,871.50,621.96,528.24,1256.70,1777.84,793.15,923.00,484.22
